Step 10450, train loss = 0.21, train accuracy = 1.00%
Step 10500, train loss = 0.27, train accuracy = 0.88%
Step 10550, train loss = 0.26, train accuracy = 0.88%
Step 10600, train loss = 0.10, train accuracy = 0.94%
Step 10650, train loss = 0.11, train accuracy = 0.94%
Step 10700, train loss = 0.17, train accuracy = 0.94%
Step 10750, train loss = 0.19, train accuracy = 0.88%
Step 10800, train loss = 0.19, train accuracy = 0.94%
Step 10850, train loss = 0.40, train accuracy = 0.88%
Step 10900, train loss = 0.10, train accuracy = 1.00%
Step 10950, train loss = 0.46, train accuracy = 0.81%
Step 11000, train loss = 0.12, train accuracy = 1.00%
Step 11050, train loss = 0.24, train accuracy = 0.81%
Step 11100, train loss = 0.25, train accuracy = 0.88%
Step 11150, train loss = 0.07, train accuracy = 1.00%
Step 11200, train loss = 0.40, train accuracy = 0.75%
Step 11250, train loss = 0.16, train accuracy = 0.94%
Step 11300, train loss = 0.10, train accuracy = 1.00%
Step 11350, train loss = 0.30, train accuracy = 0.81%
Step 11400, train loss = 0.25, train accuracy = 0.94%
Step 11450, train loss = 0.26, train accuracy = 0.88%
Step 11500, train loss = 0.10, train accuracy = 1.00%
Step 11550, train loss = 0.05, train accuracy = 1.00%
Step 11600, train loss = 0.24, train accuracy = 0.88%
Step 11650, train loss = 0.28, train accuracy = 0.94%
Step 11700, train loss = 0.23, train accuracy = 0.94%
Step 11750, train loss = 0.18, train accuracy = 0.94%
Step 11800, train loss = 0.26, train accuracy = 0.88%
Step 11850, train loss = 0.11, train accuracy = 0.94%
Step 11900, train loss = 0.10, train accuracy = 1.00%
Step 11950, train loss = 0.13, train accuracy = 0.94%
Step 12000, train loss = 0.18, train accuracy = 0.88%
Step 12050, train loss = 0.24, train accuracy = 0.81%
Step 12100, train loss = 0.19, train accuracy = 0.88%
Step 12150, train loss = 0.22, train accuracy = 0.94%
Step 12200, train loss = 0.25, train accuracy = 0.88%
Step 12250, train loss = 0.09, train accuracy = 1.00%
Step 12300, train loss = 0.05, train accuracy = 1.00%
Step 12350, train loss = 0.02, train accuracy = 1.00%
Step 12400, train loss = 0.07, train accuracy = 1.00%
Step 12450, train loss = 0.26, train accuracy = 0.94%
Step 12500, train loss = 0.24, train accuracy = 0.94%
Step 12550, train loss = 0.01, train accuracy = 1.00%
Step 12600, train loss = 0.09, train accuracy = 0.94%
Step 12650, train loss = 0.30, train accuracy = 0.94%
Step 12700, train loss = 0.02, train accuracy = 1.00%
Step 12750, train loss = 0.09, train accuracy = 0.94%
Step 12800, train loss = 0.12, train accuracy = 0.94%
Step 12850, train loss = 0.23, train accuracy = 0.94%
Step 12900, train loss = 0.23, train accuracy = 0.88%
Step 12950, train loss = 0.12, train accuracy = 0.94%
Step 13000, train loss = 0.24, train accuracy = 0.94%
Step 13050, train loss = 0.02, train accuracy = 1.00%
Step 13100, train loss = 0.03, train accuracy = 1.00%
Step 13150, train loss = 0.42, train accuracy = 0.88%
Step 13200, train loss = 0.04, train accuracy = 1.00%
Step 13250, train loss = 0.10, train accuracy = 0.94%
Step 13300, train loss = 0.11, train accuracy = 0.94%
Step 13350, train loss = 0.01, train accuracy = 1.00%
Step 13400, train loss = 0.08, train accuracy = 1.00%
Step 13450, train loss = 0.10, train accuracy = 1.00%
Step 13500, train loss = 0.68, train accuracy = 0.75%
Step 13550, train loss = 0.04, train accuracy = 1.00%
Step 13600, train loss = 0.15, train accuracy = 0.88%
Step 13650, train loss = 0.10, train accuracy = 1.00%
Step 13700, train loss = 0.08, train accuracy = 1.00%
Step 13750, train loss = 0.04, train accuracy = 1.00%
Step 13800, train loss = 0.02, train accuracy = 1.00%
